"Admin Tools", "Outils Admin"
"Logs", "Fichiers de Log"
"Cron", "Tâche Cron"
"Tangkoko AdminTools", "Tangkoko AdminTools"
"Module Tangkoko AdminTools", "Module Outils Admin"
"Active", "Actif"
"Choose your logs", "Choisissez votre fichier"
"Are you sure you want to do this?", "Êtes vous sur de vouloir le supprimer?"
"Kb", "Ko"
"Mb", "Mo"
"All", "Tout"
"Number of bytes to load", "Nombre d'octet à charger"
"Configuration", "Configuration"
"Interval Refresh", "Interval de raffraichissement"
"Result", "Résultat"
"Your file is bigger than 10MB. I can't handle it !", "Votre fichier fait plus de 10Mo. On ne peux pas l'ouvrir dans son intégralité"
"Dude, this log file doesn't exist, believe me.", "Mec, Ce fichier de log n'existe pas, crois moi"
"Cron", "Cron"
"List of all cron Jobs", "Liste des tâche cron"
"Delete Log", "Supprimer le log"
"Log Configuration", "Configuration des logs"
"Cron Configuration", "Configuration des crons"
"Login Form Configuration", "Configuration du formulaire de login"
"Usefull to help your browser to save login and password information at login", "Cela permet à votre navigateur d'enregistrer le login/mot de passe de magento à la connexion"
"Allowed IPs (comma separated)", "IPs autorisées (virgule séparateur)"
"PhpInfo", "PhpInfo"
"PhpInfo Configuration", "Configuration PhpInfo"
"Choose your level", "Choosissez le niveau"
"PhpIni Configuration", "Configuration du php.ini"
"Memory limit", "Memory limit"
"Memory limit in MB", "Limite mémoire en MB"
"Max Execution Time", "Max Execution Time"
"Max Execution Time in second", "Temp d'éxécution maximum en second"
