"Store Authorization","Restriction d'accès par vue"
"Error URL","URL d'erreur"
"Error Page","Page d'erreur"
"Tangkoko_Authorization::Enabled","Activé"
"Tangkoko_Authorization::General","Général"
"Allowed Customer Groups","Groupes clients autorisés"
"Public CMS Pages","Pages CMS publiques"
"Public Actions","Actions publiques"
"Redirect Guests to","Rediriger les invités vers"
"Redirect Banned Customers to","Rediriger les utilisateurs non autorisés vers"
"Accepts only regular expressions.","Accepte seulement les expressions régulières, par exemple : #customer\/account\/(log(in|out)|forgotpassword|resetpassword|create|loginPost)#"
"Tangkoko_Authorization::Displayed when access is denied.","Affiché quand l'accès est refusé."
"Redirect Message","Message lors de la redirection."
